filename,xmlid,au-name,title,au-birth,au-death,au-ids,digitalSource,firsted-yr,ref-year,title-ids,language,numwords,subgenre,narr-per,au-gender,sizeCat,reprintCount,time-slot
FRA04002_Verne,FRA04002,"Verne, Jules",Le Secret de Wilhelm Storitz,1828,1905,viaf:76323989 wikidata:Q33977,NA,1898,1910,viaf:183647198 wikidata:Q78655137,fr,55614,NA,autodiegetic,M,medium,high,T3
FRA04102_Erckmann,FRA04102,"Erckmann, Émile","Madame Thérèse, ou les volontaires de 92",1822,1899,viaf:31995972 wikidata:Q3246593,NA,1863,1879,viaf:209896303 wikidata:missing,fr,61525,NA,autodiegetic,M,medium,high,T2
FRA04202_Rolland,FRA04202,"Rolland, Romain",Jean-Christophe,1866,1944,viaf:71397100 wikidata:Q47162,NA,1912,1931-1934,viaf:219192997 wikidata:Q2476841,fr,587440,NA,heterodiegetic,M,long,high,T4
FRA04301_Achard,FRA04301,"Achard, Amédée",Belle-Rose,1814,1875,viaf:22137477 wikidata:Q482162,NA,1847,1847,viaf:missing wikidata:Q2894684,fr,179332,historical,heterodiegetic,M,long,high,T1
FRA04401_Barbusse,FRA04401,"Barbusse, Henri",Le Feu,1873,1935,viaf:68925116 wikidata:Q18404,NA,1916,1916,viaf:8216147270621135700006 wikidata:Q19194889,fr,119403,NA,heterodiegetic,M,long,high,T4
FRA04501_Barres,FRA04501,"Barrès, Maurice",Colette Baudoche,1862,1923,viaf:66463260 wikidata:Q314957,NA,1908,1909,viaf:293547141 wikidata:Q13422710,fr,31172,NA,homodiegetic,M,short,high,T4
FRA04601_Bazin,FRA04601,"Bazin, René",Le blé qui lève,1853,1932,viaf:24597541 wikidata:Q127539,NA,1907,1911,viaf:missing wikidata:Q18018658,fr,88367,NA,heterodiegetic,M,medium,low,T4
FRA04701_Bourget,FRA04701,"Bourget, Paul",Laurence Albani,1852,1935,viaf:29530799 wikidata:Q198644,NA,1919,1919,viaf:missing wikidata:Q19191309,fr,47202,NA,heterodiegetic,M,short,low,T4
FRA04801_Corday,FRA04801,"Corday, Michel",Les révélées,1869,1937,viaf:9861444 wikidata:Q17485888,NA,1909,1909,viaf:missing wikidata:missing,fr,35151,NA,heterodiegetic,M,short,low,T4
FRA04901_Dumas,FRA04901,"Dumas, Alexandre [Dumas père]",Reine Margot,1802,1870,viaf:51688902 wikidata:Q38337,NA,1845,1845,viaf:181806192 wikidata:Q2020094,fr,217375,historical,heterodiegetic,M,long,high,T1
FRA05101_Eekhoud,FRA05101,"Eekhoud, Georges",L'autre vue,1854,1927,viaf:19677089 wikidata:Q728405,NA,1904,1904,viaf:missing wikidata:missing,fr,48550,NA,homodiegetic,M,short,low,T4
FRA05201_Feuillet,FRA05201,"Feuillet, Octave",La petite Comtesse,1821,1890,viaf:68928998 wikidata:Q1091989,NA,1856,1869,viaf:missing wikidata:Q17360873,fr,31143,NA,autodiegetic,M,short,low,T1
FRA05301_Galopin,FRA05301,"Galopin, Arnould",Le Docteur Omega,1865,1934,viaf:66488375 wikidata:Q2863411,NA,1906,1906,viaf:missing wikidata:missing,fr,50310,NA,homodiegetic,M,short,low,T4
FRA05401_Kock,FRA05401,"Kock, Paul de",Madeleine,1793,1871,viaf:100183137 wikidata:Q982058,NA,1849,1850,viaf:missing wikidata:missing,fr,99323,NA,homodiegetic,M,medium,high,T1
FRA05501_Lermina,FRA05501,"Lermina, Jules",L'effrayante aventure,1839,1915,viaf:49244018 wikidata:Q3087202,NA,1910,1913,viaf:8298151656295308400006 wikidata:Q19178442,fr,47052,crime fiction,heterodiegetic,M,short,low,T4
FRA05602_Lesueur,FRA05602,"Lesueur, Daniel",Masque d'Amour,1854,1921,viaf:39520913 wikidata:Q5217915,NA,1904,1904,viaf:missing wikidata:missing,fr,206089,NA,heterodiegetic,F,long,low,T4
FRA05702_Maquet,FRA05702,"Maquet, Auguste",La Maison du baigneur,1812,1888,viaf:62618234 wikidata:Q766768,La Maison du baigneur,1857,1875,viaf:missing wikidata:missing,fr,177144,historical novel,heterodiegetic,M,long,low,T1
FRA05801_Mille,FRA05801,"Mille, Pierre",Louise et Barnavaux,1864,1941,viaf:100905302 wikidata:Q731510,NA,1912,1912,viaf:missing wikidata:missing,fr,49700,NA,heterodiegetic,M,short,low,T4
FRA05901_Moselly,FRA05901,"Moselly, Emile",Terres lorraines,1870,1918,viaf:19681833 wikidata:Q2356724,NA,1907,1907,viaf:missing wikidata:Q3518724,fr,78099,NA,heterodiegetic,M,medium,low,T4
FRA06001_Rebell,FRA06001,"Rebell, Hugues",Les Nuits chaudes du Cap français,1867,1905,viaf:9852444 wikidata:Q3142674,NA,1902,1918,viaf:missing wikidata:Q72157611,fr,53060,NA,heterodiegetic,M,medium,high,T4
FRA06101_Sandeau,FRA06101,"Sandeau, Jules",Mademoiselle de la Seiglière,1811,1883,viaf:56616138 wikidata:Q609039,NA,1848,1847,viaf:599145424534886831258 wikidata:Q28496738,fr,62501,NA,heterodiegetic,M,medium,high,T1
FRA06201_Viel-Castel,FRA06201,"Viel-Castel, Horace de",Archambaud de Comborn,1802,1864,viaf:69051610 wikidata:Q3140481,"Archambaud de Comborn, par le Cte Horace de Viel-Castel",1845,1845,viaf:missing wikidata:missing,fr,50642,NA,mixed,M,medium,low,T1
